year,week,team,temperature
2014,Week 1,Vikings,76
2014,Week 1,Rams,76
2014,Week 1,Patriots,89
2014,Week 1,Dolphins,89
2014,Week 1,Raiders,80
2014,Week 1,Jets,80
2014,Week 1,Jaguars,80
2014,Week 1,Eagles,80
2014,Week 1,Browns,72
2014,Week 1,Steelers,72
2014,Week 1,Bengals,78
2014,Week 1,Ravens,78
2014,Week 1,Washington,82
2014,Week 1,Texans,82
2014,Week 1,49ers,84
2014,Week 1,Cowboys,84
2014,Week 1,Panthers,79
2014,Week 1,Buccaneers,79
2014,Week 1,Colts,70
2014,Week 1,Broncos,70
2014,Week 1,Giants,68
2014,Week 1,Lions,68
2014,Week 1,Chargers,84
2014,Week 1,Cardinals,84
2014,Week 2,Steelers,80
2014,Week 2,Ravens,80
2014,Week 2,Dolphins,61
2014,Week 2,Bills,61
2014,Week 2,Falcons,68
2014,Week 2,Bengals,68
2014,Week 2,Saints,62
2014,Week 2,Browns,62
2014,Week 2,Cowboys,77
2014,Week 2,Titans,77
2014,Week 2,Patriots,65
2014,Week 2,Vikings,65
2014,Week 2,Cardinals,71
2014,Week 2,Giants,71
2014,Week 2,Jaguars,67
2014,Week 2,Washington,67
2014,Week 2,Lions,68
2014,Week 2,Panthers,68
2014,Week 2,Seahawks,85
2014,Week 2,Chargers,85
2014,Week 2,Rams,78
2014,Week 2,Buccaneers,78
2014,Week 2,Chiefs,82
2014,Week 2,Broncos,82
2014,Week 2,Jets,63
2014,Week 2,Packers,63
2014,Week 2,Texans,73
2014,Week 2,Raiders,73
2014,Week 2,Bears,73
2014,Week 2,49ers,73
2014,Week 2,Eagles,57
2014,Week 2,Colts,57
2014,Week 3,Buccaneers,73
2014,Week 3,Falcons,73
2014,Week 3,Chargers,72
2014,Week 3,Bills,72
2014,Week 3,Titans,79
2014,Week 3,Bengals,79
2014,Week 3,Ravens,69
2014,Week 3,Browns,69
2014,Week 3,Packers,64
2014,Week 3,Lions,64
2014,Week 3,Cowboys,78
2014,Week 3,Rams,78
2014,Week 3,Raiders,78
2014,Week 3,Patriots,78
2014,Week 3,Vikings,87
2014,Week 3,Saints,87
2014,Week 3,Texans,76
2014,Week 3,Giants,76
2014,Week 3,Washington,76
2014,Week 3,Eagles,76
2014,Week 3,Colts,85
2014,Week 3,Jaguars,85
2014,Week 3,49ers,97
2014,Week 3,Cardinals,97
2014,Week 3,Chiefs,84
2014,Week 3,Dolphins,84
2014,Week 3,Broncos,83
2014,Week 3,Seahawks,83
2014,Week 3,Steelers,74
2014,Week 3,Panthers,74
2014,Week 3,Bears,56
2014,Week 3,Jets,56
2014,Week 4,Giants,63
2014,Week 4,Washington,63
2014,Week 4,Packers,78
2014,Week 4,Bears,78
2014,Week 4,Titans,81
2014,Week 4,Colts,81
2014,Week 4,Dolphins,68
2014,Week 4,Raiders,68
2014,Week 4,Lions,85
2014,Week 4,Jets,85
2014,Week 4,Buccaneers,73
2014,Week 4,Steelers,73
2014,Week 4,Panthers,79
2014,Week 4,Ravens,79
2014,Week 4,Bills,86
2014,Week 4,Texans,86
2014,Week 4,Jaguars,72
2014,Week 4,Chargers,72
2014,Week 4,Falcons,80
2014,Week 4,Vikings,80
2014,Week 4,Eagles,75
2014,Week 4,49ers,75
2014,Week 4,Saints,79
2014,Week 4,Cowboys,79
2014,Week 4,Patriots,72
2014,Week 4,Chiefs,72
2014,Week 5,Vikings,63
2014,Week 5,Packers,63
2014,Week 5,Texans,81
2014,Week 5,Cowboys,81
2014,Week 5,Bills,53
2014,Week 5,Lions,53
2014,Week 5,Browns,71
2014,Week 5,Titans,71
2014,Week 5,Ravens,57
2014,Week 5,Colts,57
2014,Week 5,Buccaneers,77
2014,Week 5,Saints,77
